Country,WHO Region,Population,Geographical Region,WHO Group,DALY,Adult DALYs,Children DALYs,Retention Rate,Retention Rate (ADULT),Retention Rate (CHILD),# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,Estimated adults (15+) living with HIV,Estimated children (0-14) living with HIV,# Adult Prevalent Cases Receiving Treatment,# Children Prevalent Cases Receiving Treatment,3TC,ABC,AZT,ddl,d4T,EFV,FTC,LPV/r,NVP,TDF,ATV/r,Overall Treatment Impact,,,,,,average of 2013 antiretroviral treatment. ,,,Treatment Regimen Proportion and Efficacy Section,,,,,impact =daly*treatment cover*x/(1-treatment cover*x)/number of drugs,,,,,,Originator Company,Drug(s),Final Impact,,,,,Afghanistan,9224.366,Afghanistan,1528.182,,Afghanistan,500,26,0.11,,,Country,All ages,Children (0-14),Adults (15+),Year,,http://apps.who.int/gho/data/node.main.626?lang=en,Estimated antiretroviral therapy coverage among people living with HIV (%),Reported number of people receiving antiretroviral therapy,Cleaned coverage,Cleaned number of people receiving antiretroviral therapy,Computed Impact Score (3TC),Computed Impact Score (ABC),Computed Impact Score (AZT),Computed Impact Score (ddl),Computed Impact Score (d4T),Computed Impact Score (EFV),Computed Impact Score (FTC),Computed Impact Score (LPV/r),Computed Impact Score (NVP),Computed Impact Score (TDF),Computed Impact Score (ATV/r),Computed Overall Treatment Impact
Fiji,WPR,892149,Oceania,A,1165.8095,1054.248,111.5615,59,59,97.14,259,712.0933938,0.3637163359,255,712.0933938,0.3580990952,4,,,1000,,358.0990952,,31.61327875,0.1262500412,11.760213,0.0,0.0,24.45372522,8.90305016,2.654258544,12.91174693,29.53176635,0.4965982148,122.4508872,,Palau,,,,,,,,,,,,,,,,,,,,,,,,,Ethiopia,1227515,Federated States of Micronesia,33.57262,,Guinea-Bissau,,,,,,Oman,66,67,66,2015,,Guatemala,30 [21-44],16 315,0.3,16315,32.13884287077857,0.12823146824878695,11.953048626345856,0.0,0.0,24.864878580578914,9.05086286913062,2.6962805657027635,13.124148056580786,29.45119366039584,0.5043985370467273,123.91188523480886
Finland,EUR,5479531,Europe and Central Asia,A,395.10414,377.3627,17.74144,94,97.14,97.14,,,0,,,0,,,,520459.5694,698.1774711,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,Federated States of Micronesia,170.772,Fiji,111.5615,,Guyana,200,157,0.95,,,Palau,100,,,2015,,Guinea,29 [24-34],33 525,0.29,33525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,EUR,66624068,Europe and Central Asia,A,26183.8386,25608.36,575.4786,97.14,97.14,97.14,,,0,,,0,,,,6328120.735,8488.94245,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,Fiji,1054.248,Finland,17.74144,,Haiti,9500,2865,0.3,,,Papua New Guinea,90,,,2015,,Guinea-Bissau,No data,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Polynesia,WPR,277690,,A,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Republic of Korea,,,,,,,,,,,,,,,,,,,,,,,,,Finland,377.3627,France,575.4786,,Holy See,,,,,,Paraguay,78,94,77,2015,,Guyana,59 [54-65],4 551,0.59,4551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,AFR,1930175,Sub-Saharan Africa,A,62694.715,59623.49,3071.225,97.14,97.14,97.14,27037,46615.51724,0.58,25662,44015.51724,0.5830216616,1375,2600,0.52,40000,3900,23320.86647,2028,222.1153468,4.185336439,84.72530817,0.09975632647,0.5120879912,166.5792048,59.32800328,19.54379018,92.21420551,197.9302684,3.192325964,850.4256339,,Republic of Moldova,,,,,,,,,,,,,,,,,,,,,,,,,France,25608.36,Gabon,3071.225,,Honduras,1000,573,0.74,,,Peru,81,51,82,2015,,Haiti,52 [43-62],68 849,0.52,68849,220.95113665854686,4.185409481307445,84.34367491544158,0.08562226073971017,0.5164802035903242,165.65597283813307,58.990774290116136,19.347276193366408,91.83688304461594,193.14057860434576,3.1757451397515366,842.2295536299547
Gambia,AFR,1977590,Sub-Saharan Africa,A,0,0,0,83,97.14,97.14,5022,20925,0.24,4584,19125,0.2396862745,438,1800,0.24,12000,1335.223029,2876.235294,320.453527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Gabon,59623.49,Georgia,12.30716,,Hungary,,,,,,Philippines,90,64,90,2015,,Honduras,52 [44-61],10 457,0.52,10457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,EUR,3717100,Europe and Central Asia,A,1693.76516,1681.458,12.30716,84,84,75,3044,9512.5,0.32,2991,9412.5,0.3177689243,53,100,0.95,5300,250.508119,1684.175299,237.982713,17.85506107,0.2123333776,6.795786972,0.004092168053,0.02113726067,13.49184889,4.885691039,1.564799703,7.413400711,16.21403249,0.2742379353,68.73242163,,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,Georgia,1681.458,Germany,451.9962,,Iceland,,,,,,Republic of Moldova,84,100,84,2015,,Hungary,High-income country,No data,,,17.986963006946567,0.2131364432545847,6.847122665134504,0.003511571092176262,0.021322572240879304,13.593224302992576,4.92174339944763,1.5708193890363904,7.471530599861719,16.01829795422953,0.2761656701003689,68.92383757433691
Germany,EUR,81686611,Europe and Central Asia,A,21436.7762,20984.78,451.9962,97.14,97.14,97.14,,,0,,,0,,,,108722.591,145.8473782,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,Germany,20984.78,Ghana,118784.9,,India,,50976,,,,Rwanda,91,,,2015,,Iceland,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,AFR,27582821,Sub-Saharan Africa,A,619574.5,500789.6,118784.9,97.14,97.14,97.14,94047,276608.8235,0.34,89113,257608.8235,0.3459237101,4934,19000,0.27,210000,32000,72643.97913,8640,1223.324868,70.61127671,506.3649238,2.001466842,10.23771942,823.8520589,284.4219843,132.4854331,537.2434747,951.6056821,15.89488065,4558.043768,,Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,Ghana,500789.6,Greater London,257.4699,,Indonesia,17000,2708,0.16,,,Saint Lucia,67,,67,2015,,India,43 [36-54],919 141,0.43,919141,1205.4350481708257,70.59226705417736,500.2974988825522,1.7181125109106254,10.32441293539843,810.1984744024136,279.28658401280177,128.88229290936545,531.5027320335512,915.8415819601478,15.622347105197887,4469.701351977343
Greece,EUR,10820883,Europe and Central Asia,A,934.74327,898.3296,36.41367,97,97,97.14,,,0,,,0,,100,,14402.29216,19.32014801,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,Greater London,3531.25,Greece,36.41367,,Iran (Islamic Republic of),1900,233,0.12,,,Samoa,100,100,100,2015,,Indonesia,9 [8-10],63 066,0.09,63066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greenland,EUR,56114,Europe and Central Asia,A,89.532842,88.33066,1.202182,97.14,97.14,97.14,,,0.3637163359,,,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Greece,898.3296,Greenland,1.202182,,Iraq,,,,,,Sao Tome and Principe,62,71,61,2015,,Iran (Islamic Republic of),9 [6-15],6 484,0.09,6484,0.1878369822849752,0.0007494548614170517,0.06986015620119873,0.0,0.0,0.14532395507321874,0.05289819472493793,0.01575853887744415,0.07670470203053818,0.17212888977060842,0.002947981028712075,0.7242088548530505
Grenada,AMR,106823,Latin America and the Caribbean,B,511.34711,487.6984,23.64871,57,57,97.14,,,1,,,1,2,,,,,,,48.04289969,0.1712071744,17.33911496,0.0,0.0,38.01863774,13.4528218,3.656281968,19.14637531,45.21144596,0.6744264696,185.7132111,,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,Greenland,88.33066,Grenada,23.64871,,Ireland,,,,,,Saudi Arabia,90,85,91,2015,,Iraq,No data,No data,,,47.817760799866974,0.19946203501431783,17.17008980903779,0.0,0.0,37.24212002346598,13.269422572504983,4.277153084811105,18.781883295029353,44.18221200163316,0.7860269690655182,183.7261305904292
Guam,WPR,161797,,A,205.41507,194.2904,11.12467,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.4131625692,0.001648486322,0.1536630395,0.0,0.0,0.3196517422,0.1163538392,0.03466217531,0.1687181692,0.3859815301,0.006484321675,1.600325873,,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,Grenada,487.6984,Guam,11.12467,,Israel,,,,,,Senegal,77,74,77,2015,,Ireland,High-income country,No data,,,0.41316256917972477,0.001648486321812421,0.15366303945191148,0.0,0.0,0.3196517422235688,0.11635383922622204,0.034662175307126376,0.16871816919961963,0.3786113547106681,0.006484321675632,1.5929556972962857
Guatemala,AMR,16252429,Latin America and the Caribbean,B,38238.004,31371.62,6866.384,89,89,86,16315,54383.33333,0.3,15459,52383.33333,0.2951129494,856,2000,0.44,54000,1242.119163,15936.09927,546.5324318,285.9335741,25.24112786,126.4764414,0.7256115309,3.720585809,174.6879951,57.99115577,34.80678027,131.7902208,195.2182205,3.2665656,1039.858279,,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,Guam,194.2904,Guatemala,6866.384,,Italy,1400,,,,,Seychelles,52,80,52,2015,,Israel,High-income country,No data,,,289.0477618376029,25.32007108940716,126.95611418270013,0.7256115308810203,3.720585809458985,174.63104877049338,58.36192810812355,37.97030429443013,131.56662457489898,194.4244828481011,3.868544258695903,1046.5930773047933
Guinea,AFR,12091533,Sub-Saharan Africa,A,283675.07,235195.1,48479.97,97.14,97.14,97.14,33525,115603.4483,0.29,31993,108603.4483,0.2945854898,1532,7000,0.22,96000,13000,28280.20702,2860,470.8321167,23.67688448,192.1670028,0.6654693548,3.401530355,323.4297927,112.8270321,49.70019436,204.748118,376.6893543,6.355918039,1764.493413,,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,Guatemala,31371.62,Guinea,48479.97,,Jamaica,500,666,0.95,,,Singapore,93,,93,2015,,Italy,High-income country,No data,,,464.4027738202205,23.66614005803922,189.94973605078502,0.5712716064100181,3.430260945599966,318.54762747798475,110.99000809358516,48.45783282212209,202.6239460398225,363.16948553093994,6.256875668232554,1732.0659581137418
Guinea-Bissau,AFR,1770526,Sub-Saharan Africa,A,98609.14,78821.69,19787.45,97.14,97.14,97.14,,,0.3583525923,,,0.3583525923,,,,34000,5400,12183.98814,0,164.9985357,0.6589070377,61.37921875,0.0,0.0,127.6318938,46.46746101,13.85282965,67.38949393,154.1349517,2.591779339,639.105071,,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,Guinea,235195.1,Guinea-Bissau,19787.45,,Japan,,,,,,Solomon Islands,83,,,2015,,Jamaica,34 [29-39],9 764,0.34,9764,164.99853569639419,0.6589070375855348,61.37921874150544,0.0,0.0,127.63189379368156,46.46746100395338,13.852829648890728,67.38949391861809,151.18912481066874,2.5917793391571933,636.1592439904548
Guyana,AMR,768514,Latin America and the Caribbean,B,22713.271,20913.44,1799.831,78,78,87,4551,7713.559322,0.59,4394,7513.559322,0.5848093842,157,200,0.95,6500,58.73497227,3801.260997,55.79822366,673.4274708,30.8713852,277.3335358,0.8228677464,4.250355759,463.6418703,160.6141081,66.58099264,295.8897562,538.1895707,8.639816026,2520.261729,,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,Guinea-Bissau,78821.69,Guyana,1799.831,,Jordan,,2,,,,Somalia,81,,,2015,,Japan,High-income country,No data,,,677.3593387474891,31.17236652871439,277.28448533514864,0.8228677464172568,4.250355758738692,459.70258398184893,160.2519967768306,74.76745084391068,293.69567328385534,531.7291353096034,10.156483701838338,2521.1927380143948
Haiti,AMR,10711061,Latin America and the Caribbean,B,356824.29,313251.6,43572.69,97.14,97.14,97.14,68849,132401.9231,0.52,65984,122901.9231,0.5368833811,2865,9500,0.3,130000,15000,69794.83954,4500,1099.847627,31.11396,427.4483068,0.8158442397,4.174912777,805.3576751,284.8398101,102.2684208,462.3241139,950.9019737,15.44200667,4184.534651,,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,Guyana,20913.44,Haiti,43572.69,,Kazakhstan,500,379,0.95,,,South Sudan,76,76,76,2015,,Jordan,No data,No data,,,1062.9328882185334,31.533970917739282,411.709058520572,0.8158442397083074,4.174912777257454,763.9731009438158,271.91937906898255,112.96753672138031,441.1913651179612,898.5475363771021,17.42504339955735,4017.190636302609
Honduras,AMR,8960829,Latin America and the Caribbean,B,30779.651,25959.27,4820.381,83,83,80,10457,20109.61538,0.52,9884,19109.61538,0.5172265271,573,1000,0.74,24000,684.8463956,12413.43665,506.7863327,635.1820353,47.37844699,276.8975055,1.325487478,6.825782272,401.7633392,134.732703,71.47413148,290.4948371,453.58459,7.327483095,2326.986341,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,Haiti,313251.6,High-income Asia Pacific,1036.919,,Kenya,98000,71547,0.73,,,Spain,12,,,2015,,Kazakhstan,27 [23-32],6 285,0.27,6285,636.5313017071572,47.562104692001974,275.99165303987155,1.3254874778747763,6.825782272448616,397.0942597867019,133.94367970013326,78.1645295773697,287.7779121071161,446.4932677508835,8.583332456342253,2320.2933105679012
Hungary,EUR,9843028,Europe and Central Asia,A,1748.92786,1725.244,23.68386,97.14,97.14,97.14,,,0,,,0,,,,934915.436,1254.154853,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,,,,,High-income Asia Pacific,12481.74,High-income North America,6264.779,,Kiribati,,2,,,,Sri Lanka,82,100,81,2015,,Kenya,59 [50-69],897 644,0.59,897644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iceland,EUR,330815,Europe and Central Asia,A,60.807529,59.17611,1.631419,97.14,97.14,97.14,,,0,,,0,,,,31421.63671,42.15097608,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,High-income North America,371151.2,Honduras,4820.381,,Kuwait,,,,,,Swaziland,96,,,2015,,Kiribati,No data,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,SEA,1309053980,"East, South and South-East Asia",A,6823203,5770929,1052274,97.14,97.14,97.14,919141,2137537.209,0.43,868165,2137537.209,0.4061519941,50976,,,2000000,108639.757868202,812303.9882,0,13800.32653,54.68043783,5123.831079,0.0,0.0,10691.96773,3885.718971,1150.924618,5628.046747,12898.22921,215.1063998,53448.83172,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,Honduras,25959.27,Hungary,23.68386,,Kyrgyzstan,200,387,0.95,,,Tajikistan,82,93,80,2015,,Kuwait,High-income country,No data,,,14668.861346801945,57.89308891108645,5440.983417175992,0.0,0.0,11373.94585754014,4129.811364799185,1219.2470774471226,5977.722762078916,13454.58142931194,227.7570145349506,56550.803358601275
Indonesia,SEA,258162113,"East, South and South-East Asia",A,933303.21,855522.1,77781.11,97.14,97.14,97.14,63066,700733.3333,0.09,60358,683733.3333,0.08827710608,2708,17000,0.16,500000,21476.0873086539,44138.55304,3436.173969,503.6942489,27.39506296,207.9178827,0.7763199485,3.964764342,340.6296778,119.0905428,55.14078351,220.7621156,396.9305298,6.922848002,1883.224776,,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,Hungary,1725.244,Iceland,1.631419,,Lao People's Democratic Republic,,222,,,,Thailand,87,93,87,2015,,Kyrgyzstan,26 [21-33],2 109,0.26,2109,512.1389260496613,27.443121240940048,211.24385732248223,0.6664521472201989,3.998149296554048,347.2930629672917,121.44689915962812,55.03142531737718,224.77905367053367,396.36204878062733,7.05800560778266,1907.4610015600986
Iran,EMR,79360487,Middle East and North Africa,A,26412.29509,26382.84,29.45509,97.14,97.14,97.14,,,0.3637163359,,,0,,,,59000,4052.13346,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,The Former Yugoslav Republic of Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,Iceland,59.17611,India,1052274,,Latvia,100,36,0.95,,,Trinidad and Tobago,90,100,90,2015,,Lao People's Democratic Republic,No data,3 879,,3879,56.10365698283399,0.2238492013530551,20.866020059526715,0.0,0.0,43.40575124044039,15.799775612645501,4.706802936119673,22.910367486435216,51.41192150263112,0.8805109324842141,216.30865595446988
Iraq,EMR,36115649,Middle East and North Africa,A,6002.31,4860.863,1141.447,97.14,97.14,97.14,,,0,,,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,India,5770929,Indonesia,77781.11,,Lebanon,,5,,,,Tunisia,79,,,2015,,Latvia,20 [18-23],1 388,0.2,1388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,EUR,4676835,Europe and Central Asia,A,664.84509,642.5257,22.31939,97.14,97.14,97.14,,,0,,,0,,,,444217.4942,595.9015166,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Togo,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,855522.1,Iran,29.45509,,Lesotho,13000,7466,0.56,,,Uganda,78,80,77,2015,,Lebanon,37 [32-42],890,0.37,890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Israel,EUR,8380100,Middle East and North Africa,A,1917.3626,1712.951,204.4116,97.14,97.14,97.14,,,0,,,0,,,,795962.873,1067.755073,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Tonga,,,,,,,,,,,,,,,,,,,,,,,,,Iran,26382.84,Iraq,1141.447,,Liberia,3900,389,0.1,,,Ukraine,86,,,2015,,Lesotho,42 [38-45],129 127,0.42,129127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,EUR,60730582,Europe and Central Asia,A,35146.0227,34549.22,596.8027,97.14,97.14,97.14,,,0,,,0,,1400,,5768342.684,7738.020674,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,Iraq,4860.863,Ireland,22.31939,,Libya,,,,,,United Republic of Tanzania,67,74,67,2015,,Liberia,24 [20-29],7 391,0.24,7391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaica,AMR,2871934,Latin America and the Caribbean,B,18149.01496,18077.68,71.33496,60,60,97.14,9764,28717.64706,0.34,9098,28217.64706,0.3224223473,666,500,0.95,28000,427.1660182,9027.825724,405.8077173,480.7849248,3.968007609,181.1790694,0.05929772677,0.306290331,367.0981582,133.3394078,41.39714298,198.2012245,442.3186749,7.479032876,1856.131231,,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,Ireland,642.5257,Israel,204.4116,,Liechtenstein,,,,,,Uzbekistan,90,95,88,2015,,Libya,No data,No data,,,507.45170193584954,4.396257263297729,189.79122313996646,0.05929772676734161,0.30629033103198355,381.514161986919,139.46447879274388,50.60072824520027,205.66382625295205,457.91144955246835,9.188690169035318,1946.348105396232
Japan,WPR,127141000,"East, South and South-East Asia",A,6480.2272,5784.242,695.9852,97.14,97.14,97.14,,,0.2518046743,,,0.2518046743,,,,66912.930220931,3555.247385,16848.9886,0,8.362344082,0.03397126029,3.123660511,0.0,0.0,6.446082557,2.355840233,0.7123834372,3.426126526,7.803137589,0.1335917954,32.39713799,,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,Israel,1712.951,Italy,596.8027,,Lithuania,,5,,,,Vanuatu,57,,,2015,,Lithuania,High-income country,566,,566,8.362344080496957,0.03397126028009068,3.123660510346987,0.0,0.0,6.446082555440266,2.3558402328295225,0.7123834370311629,3.4261265255221818,7.651324875425174,0.13359179533286716,32.24532527270521
Jordan,EMR,9159302,Middle East and North Africa,A,604.5573,500.7603,103.797,73,73,97.14,,,0,,,0,2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,Italy,34549.22,Jamaica,71.33496,,Luxembourg,,2,,,,Venezuela (Bolivarian Republic of),96,,,2015,,Luxembourg,High-income country,700,,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,EUR,17544126,Europe and Central Asia,A,17870.2753,16929.48,940.7953,75,74,91,6285,23277.77778,0.27,5906,22777.77778,0.2592878049,379,500,0.95,95024.67006,1182.358829,24638.73811,1123.240888,281.3977991,17.92830017,122.1243943,0.4887770197,2.524678151,181.0783042,62.13662235,30.7530697,128.6057877,207.8866233,3.519502832,1038.443859,,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,Jamaica,18077.68,Japan,695.9852,,Madagascar,3800,16,0.01,,,Zambia,93,,,2015,,Madagascar,3 [2-3],1 234,0.03,1234,291.3564171642327,18.002709113768386,126.13718211493381,0.4194293173566361,2.5468121488997206,188.63911088256074,64.81326529488814,31.01475408128658,133.21309831249405,212.3927709984792,3.665053340270832,1072.2006027691707
Kenya,AFR,47236259,Sub-Saharan Africa,A,3104198.3,2110755,993443.3,81,97.14,97.14,897644,1521430.508,0.59,826097,1423430.508,0.5803563961,71547,98000,0.73,1400000,230000,812498.9545,167900,84805.44955,10524.8083,40823.71824,301.1737119,1550.712475,45146.19221,13883.04388,11320.8226,41734.30955,47478.86518,747.3447735,298316.4405,,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,Japan,5784.242,Jordan,103.797,,Malawi,84000,51487,0.61,,,Zimbabwe,86,91,85,2015,,Malawi,61 [56-66],595 186,0.61,595186,85895.84802731981,10545.6885721699,41368.14842871048,258.4731112472114,1564.1563074341877,45963.86638707714,14136.474997456893,11068.031718390808,42463.92176886267,47329.25143599035,759.7904793839326,301353.6512340434
Kiribati,WPR,112407,Oceania,A,28.231083,25.42931,2.801773,89,86,97.14,,,0.3637163359,,,0.3637163359,2,,,,,,,0.2079844448,0.0008298416602,0.07735338176,0.0,0.0,0.1609114549,0.05857207418,0.01744880544,0.08493207604,0.1943016145,0.003264182537,0.8055978758,,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,Jordan,500.7603,Kazakhstan,940.7953,,Malaysia,500,487,0.95,,,,,,,,,Malaysia,28 [25-33],25 700,0.28,25700,0.20798444477694747,0.0008298416602579639,0.0773533817610706,0.0,0.0,0.16091145492764403,0.05857207417694498,0.017448805443161807,0.08493207604559544,0.1905914965919679,0.0032641825374911753,0.8018877579210814
Kuwait,EMR,3935794,Middle East and North Africa,A,347.8623,201.3337,146.5286,97.14,97.14,97.14,,,0,,,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,Kazakhstan,16929.48,Kenya,993443.3,,Maldives,,0,,,,,,,,,,Maldives,No data,9,,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyrgyzstan,EUR,5956900,Europe and Central Asia,A,13953.0841,13823.43,129.6541,76,74,89,2109,8111.538462,0.26,1722,7911.538462,0.2176567817,387,200,0.95,6200,401.4559237,1349.472047,381.3831275,152.2216887,2.842385082,59.18341051,0.06466557264,0.3340168457,112.4708775,40.61990792,13.92368128,64.18738587,134.757489,2.315515064,582.9210234,,Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,Kenya,2110755,Kiribati,2.801773,,Mali,12000,2665,0.23,,,,,,,,,Mali,28 [24-34],34 974,0.28,34974,181.49718378174995,2.961936445414112,70.07336871179653,0.05549081870335605,0.336945190471586,135.17157021366205,48.846238796628235,16.271196402654013,76.1821791440892,158.90638983970027,2.766413903463556,693.0689132483329
Lao People's Democratic Republic,WPR,6663967,"East, South and South-East Asia",A,0,0,0,84,83,92,3879,15404.79743,0.2518046743,3657,15404.79743,0.2373935793,222,,,9700,590.22662738585,2302.717719,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,West Bank and Gaza Strip,,,,,,,,,,,,,,,,,,,,,,,,,Kiribati,25.42931,Kuwait,146.5286,,Malta,,,,,,,,,,,,Malta,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latvia,EUR,1977527,Europe and Central Asia,A,5393.93527,5342.366,51.56927,97.14,97.14,97.14,1388,6940,0.2,1352,6840,0.1976608187,36,100,0.95,2632.033042,3.530776032,520.249806,3.35423723,6.392238538,0.1314399646,2.499111114,0.003065015309,0.01583171236,4.694405339,1.693564812,0.5909129299,2.706296995,5.618624589,0.09683588189,24.44232689,,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,Kuwait,201.3337,Kyrgyzstan,129.6541,,Marshall Islands,,,,,,,,,,,,Marshall Islands,No data,No data,,,6.468448048046518,0.13196615251964594,2.529499620110175,0.0026301508189194795,0.0159705098853808,4.752279762734968,1.7142330645754367,0.593792321253742,2.7408984269999963,5.574448083069576,0.09798272101454072,24.622148861028904
Lebanon,EMR,5851479,Middle East and North Africa,A,4061.8478,3875.685,186.1628,92,92,97.14,890,2405.405405,0.37,885,2405.405405,0.3679213483,5,,,5516.484998,298.7755587,2029.632598,0,23.33645397,0.09304675562,8.677814827,0.0,0.0,18.05724061,6.571845787,1.956661525,9.528394644,21.80216694,0.3660029733,90.38962803,,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,Kyrgyzstan,13823.43,Laos,889.4715,,Mauritania,1300,157,0.13,,,,,,,,,Mauritania,18 [11-27],2 458,0.18,2458,23.47633646849915,0.09357272279448106,8.729105242174903,0.0,0.0,18.166728675678854,6.611183394973259,1.967820555878806,9.584896997191557,21.514970954853425,0.36807363472319227,90.51268864676761
